,time,values,metric data
0,1650726073.364,2.477406,__name__: NooBaa_Endpoint_process_cpu_seconds_total
1,1650726096.27,8.117169,cluster: moc/smaug
2,1650726126.27,16.128207,endpoint: metrics
3,1650726156.27,20.895681,instance: 10.130.7.105:7004
4,1650726186.27,24.913644,job: s3
5,1650726216.27,26.047316000000002,namespace: openshift-storage
6,1650726246.27,32.890431,pod: noobaa-endpoint-84799dddf5-4mctr
7,1650726276.27,40.472818,prometheus: openshift-monitoring/k8s
8,1650726306.27,47.15531899999999,service: s3
9,1650726336.27,56.11085799999999,tenant_id: moc-smaug
10,1650726366.27,61.809109,
11,1650726396.27,68.86498900000001,
12,1650726426.27,73.853019,
13,1650726456.27,80.480673,
14,1650726486.27,86.56943,
15,1650726516.27,93.60827400000001,
