,0,,,,,,,,,,,,,
0,opf-external-secrets-645bfcc4-bh7mg,,,,,,,,,,,,,
1,opf-external-secrets-cert-controller-f959cddb9-nz4cz,,,,,,,,,,,,,
2,opf-external-secrets-webhook-77875d98d7-blh5d,,,,,,,,,,,,,
3,klusterlet-85dd9df585-9xb42,,,,,,,,,,,,,
4,klusterlet-registration-agent-799df588c8-4q5b9,,,,,,,,,,,,,
5,klusterlet-registration-agent-799df588c8-fsbdm,,,,,,,,,,,,,
6,klusterlet-registration-agent-799df588c8-plmt5,,,,,,,,,,,,,
7,klusterlet-work-agent-7965bf9b-4bd9h,,,,,,,,,,,,,
8,klusterlet-work-agent-7965bf9b-fg4g6,,,,,,,,,,,,,
9,klusterlet-work-agent-7965bf9b-kj9cf,,,,,,,,,,,,,
10,klusterlet-addon-appmgr-9c4cc964c-7c48k,,,,,,,,,,,,,
11,klusterlet-addon-certpolicyctrl-bbfcf6f8c-swsm4,,,,,,,,,,,,,
12,klusterlet-addon-iampolicyctrl-68dcc6b9d7-h4wwn,,,,,,,,,,,,,
13,klusterlet-addon-operator-794759466f-wjcjf,,,,,,,,,,,,,
14,klusterlet-addon-policyctrl-config-policy-7f748c8bf-gl8m9,,,,,,,,,,,,,
15,klusterlet-addon-policyctrl-framework-cb6566b56-6bgtk,,,,,,,,,,,,,
16,klusterlet-addon-search-69b57bbf74-fcgp4,,,,,,,,,,,,,
17,klusterlet-addon-workmgr-6445bfbf87-k4rlm,,,,,,,,,,,,,
18,authentication-operator-7dd9cb95c6-zfk48,,,,,,,,,,,,,
19,cloud-credential-operator-85897fdddc-cwbrz,,,,,,,,,,,,,
20,pod-identity-webhook-5c56f945cd-cbgxz,,,,,,,,,,,,,
21,aws-ebs-csi-driver-controller-65655c5798-ftjwv,,,,,,,,,,,,,
22,aws-ebs-csi-driver-controller-65655c5798-jfl2f,,,,,,,,,,,,,
23,aws-ebs-csi-driver-node-2lv5f,,,,,,,,,,,,,
24,aws-ebs-csi-driver-node-8l5ld,,,,,,,,,,,,,
25,aws-ebs-csi-driver-node-8ldt7,,,,,,,,,,,,,
26,aws-ebs-csi-driver-node-b74tr,,,,,,,,,,,,,
27,aws-ebs-csi-driver-node-gprzt,,,,,,,,,,,,,
28,aws-ebs-csi-driver-node-h7v66,,,,,,,,,,,,,
29,aws-ebs-csi-driver-node-hjht6,,,,,,,,,,,,,
30,aws-ebs-csi-driver-node-k7nbh,,,,,,,,,,,,,
31,aws-ebs-csi-driver-operator-87d78496b-6wtr9,,,,,,,,,,,,,
32,tuned-5pgfh,,,,,,,,,,,,,
33,tuned-6dws8,,,,,,,,,,,,,
34,tuned-6z2pp,,,,,,,,,,,,,
35,tuned-bcnbt,,,,,,,,,,,,,
36,tuned-nm9cw,,,,,,,,,,,,,
37,tuned-qhsqg,,,,,,,,,,,,,
38,tuned-trxjx,,,,,,,,,,,,,
39,tuned-xfs6s,,,,,,,,,,,,,
40,csi-snapshot-controller-6d454cc9dc-88hbq,,,,,,,,,,,,,
41,csi-snapshot-controller-6d454cc9dc-9hwpv,,,,,,,,,,,,,
42,csi-snapshot-controller-operator-64f4d7988b-m5bgc,,,,,,,,,,,,,
43,csi-snapshot-webhook-5bb5cbc9df-l25z9,,,,,,,,,,,,,
44,csi-snapshot-webhook-5bb5cbc9df-zmzmz,,,,,,,,,,,,,
45,console-645c4b9876-76t6g,,,,,,,,,,,,,
46,console-645c4b9876-t4f69,,,,,,,,,,,,,
47,downloads-5564595dd-6hls4,,,,,,,,,,,,,
48,downloads-5564595dd-pwvdz,,,,,,,,,,,,,
49,console-operator-77876df86f-s646m,,,,,,,,,,,,,
50,node-resolver-4s2q4,,,,,,,,,,,,,
51,node-resolver-c4g2k,,,,,,,,,,,,,
52,node-resolver-dl7sb,,,,,,,,,,,,,
53,node-resolver-fgbv7,,,,,,,,,,,,,
54,node-resolver-hmnt6,,,,,,,,,,,,,
55,node-resolver-kg54n,,,,,,,,,,,,,
56,node-resolver-svsbl,,,,,,,,,,,,,
57,node-resolver-wvk57,,,,,,,,,,,,,
58,node-ca-5jsk9,,,,,,,,,,,,,
59,node-ca-899jf,,,,,,,,,,,,,
60,node-ca-gmtj9,,,,,,,,,,,,,
61,node-ca-k774v,,,,,,,,,,,,,
62,node-ca-ps44w,,,,,,,,,,,,,
63,node-ca-rv26f,,,,,,,,,,,,,
64,node-ca-rwjff,,,,,,,,,,,,,
65,node-ca-xsnq4,,,,,,,,,,,,,
66,router-default-56745b7d58-6tnjf,,,,,,,,,,,,,
67,router-default-56745b7d58-l22qr,,,,,,,,,,,,,
68,ingress-canary-bstmj,,,,,,,,,,,,,
69,ingress-canary-pbssh,,,,,,,,,,,,,
70,ingress-canary-tzlqg,,,,,,,,,,,,,authentication-operator-7dd9cb95c6-zfk48
71,ingress-canary-wmj7z,,,,,,,,,,,,,pod-identity-webhook-5c56f945cd-cbgxz
72,ingress-canary-x8t2j,,,,,,,,,,,,,aws-ebs-csi-driver-controller-65655c5798-ftjwv
73,ingress-operator-967bccb9-qx7kd,,,,,,,,,,,,,tuned-5pgfh
74,insights-operator-6fb4965cdf-64w57,,,,,,,,,,,,,csi-snapshot-controller-6d454cc9dc-88hbq
75,migrator-7dc7c5855b-tsmnw,,,,,,,,,,,,,console-645c4b9876-76t6g
76,kube-storage-version-migrator-operator-b7fdd58b4-9vtg9,,,,,,,,,,,,,downloads-5564595dd-6hls4
77,collector-27hk8,,,,,,,,,,,,,node-resolver-4s2q4
78,collector-2tbs2,,,,,,,,,,,,,node-ca-5jsk9
79,collector-47dx4,,,,,,,,,,,,,router-default-56745b7d58-6tnjf
80,collector-4k9tv,,,,,,,,,,,,,ingress-canary-bstmj
81,collector-4krcc,,,,,,,,,,,,,ingress-operator-967bccb9-qx7kd
82,collector-dchxm,,,,,,,,,,,,,migrator-7dc7c5855b-tsmnw
83,collector-kgbbs,,,,,,,,,,,,,collector-27hk8
84,collector-x49jc,,,,,,,,,,,,,
85,certified-operators-5447f,,,,,,,,,,,,,
86,certified-operators-r2bmb,,,,,,,,,,,,,
87,community-operators-269nw,,,,,,,,,,,,,
88,community-operators-4rtlr,,,,,,,,,,,,,
89,marketplace-operator-64d88db5df-84m6r,,,,,,,,,,,,,
90,redhat-marketplace-gdms7,,,,,,,,,,,,,
91,redhat-marketplace-tvjxb,,,,,,,,,,,,,
92,redhat-operators-mdhv5,,,,,,,,,,,,,
93,redhat-operators-wmzpp,,,,,,,,,,,,,
94,alertmanager-main-0,,,,,,,,,,,,,
95,alertmanager-main-1,,,,,,,,,,,,,
96,alertmanager-main-2,,,,,,,,,,,,,
97,grafana-6548656d76-fmdw2,,,,,,,,,,,,,
98,kube-state-metrics-7465945b46-fnqj6,,,,,,,,,,,,,
99,node-exporter-4pt8k,,,,,,,,,,,,,
100,node-exporter-9hc5d,,,,,,,,,,,,,
101,node-exporter-bkkfx,,,,,,,,,,,,,
102,node-exporter-jcx76,,,,,,,,,,,,,
103,node-exporter-jrg89,,,,,,,,,,,,,
104,node-exporter-njxdd,,,,,,,,,,,,,
105,node-exporter-r69xg,,,,,,,,,,,,,
106,node-exporter-skt5q,,,,,,,,,,,,,
107,telemeter-client-dc76666c5-wdbpr,,,,,,,,,,,,,
108,thanos-querier-6488c54674-5d8rl,,,,,,,,,,,,,
109,thanos-querier-6488c54674-hcfl7,,,,,,,,,,,,,
110,multus-68jhk,,,,,,,,,,,,,
111,multus-9ghnx,,,,,,,,,,,,,
112,multus-additional-cni-plugins-7x4qb,,,,,,,,,,,,,
113,multus-additional-cni-plugins-8jztv,,,,,,,,,,,,,
114,multus-additional-cni-plugins-fhb52,,,,,,,,,,,,,
115,multus-additional-cni-plugins-pctvr,,,,,,,,,,,,,
116,multus-additional-cni-plugins-pfjtt,,,,,,,,,,,,,
117,multus-additional-cni-plugins-xfnlm,,,,,,,,,,,,,
118,multus-additional-cni-plugins-zgq9b,,,,,,,,,,,,,
119,multus-additional-cni-plugins-zrh6d,,,,,,,,,,,,,
120,multus-admission-controller-24htz,,,,,,,,,,,,,
121,multus-admission-controller-l8kd8,,,,,,,,,,,,,
122,multus-admission-controller-x9wvs,,,,,,,,,,,,,
123,multus-cdhqg,,,,,,,,,,,,,
124,multus-f47bl,,,,,,,,,,,,,
125,multus-hhvk4,,,,,,,,,,,,,
126,multus-mk5lr,,,,,,,,,,,,,
127,multus-mshc5,,,,,,,,,,,,,
128,multus-xrmnn,,,,,,,,,,,,,
129,network-metrics-daemon-4594l,,,,,,,,,,,,,
130,network-metrics-daemon-6s8gm,,,,,,,,,,,,,
131,network-metrics-daemon-9gxxn,,,,,,,,,,,,,
132,network-metrics-daemon-h9x6l,,,,,,,,,,,,,
133,network-metrics-daemon-k22wx,,,,,,,,,,,,,
134,network-metrics-daemon-srkz9,,,,,,,,,,,,,
135,network-metrics-daemon-tghw7,,,,,,,,,,,,,
136,network-metrics-daemon-v5fq7,,,,,,,,,,,,,
137,network-operator-7f7cc8bf58-4rh4d,,,,,,,,,,,,,
138,catalog-operator-775b6fc4c6-4bqkv,,,,,,,,,,,,,
139,olm-operator-7b4997f4f9-dhn66,,,,,,,,,,,,,
140,packageserver-68574b8479-4st2n,,,,,,,,,,,,,
141,packageserver-68574b8479-h6v8t,,,,,,,,,,,,,certified-operators-5447f
142,cert-manager-cainjector-5657bd87b9-cnxph,,,,,,,,,,,,,community-operators-269nw
143,cert-manager-custom-6d7dbcd6f4-bcbs5,,,,,,,,,,,,,marketplace-operator-64d88db5df-84m6r
144,cert-manager-webhook-6db6d4d6d8-pdnmh,,,,,,,,,,,,,redhat-marketplace-gdms7
145,external-secrets-operator-controller-manager-5dbd5459c8-tpnsn,,,,,,,,,,,,,alertmanager-main-0
146,service-ca-69cc8ddbd9-vlt8d,,,,,,,,,,,,,grafana-6548656d76-fmdw2
147,service-ca-operator-5d76f8948f-hvb5v,,,,,,,,,,,,,node-exporter-4pt8k
148,thanos-ruler-user-workload-0,,,,,,,,,,,,,telemeter-client-dc76666c5-wdbpr
149,thanos-ruler-user-workload-1,,,,,,,,,,,,,thanos-querier-6488c54674-5d8rl
150,kafka-kafdrop-4-xkczm,,,,,,,,,,,,,multus-68jhk
151,opf-kafka-entity-operator-f6959744c-8q55f,,,,,,,,,,,,,multus-additional-cni-plugins-7x4qb
152,opf-kafka-kafka-0,,,,,,,,,,,,,multus-cdhqg
153,opf-kafka-kafka-1,,,,,,,,,,,,,network-metrics-daemon-4594l
154,opf-kafka-kafka-2,,,,,,,,,,,,,network-operator-7f7cc8bf58-4rh4d
155,opf-kafka-zookeeper-0,,,,,,,,,,,,,catalog-operator-775b6fc4c6-4bqkv
156,opf-kafka-zookeeper-1,,,,,,,,,,,,,olm-operator-7b4997f4f9-dhn66
157,opf-kafka-zookeeper-2,,,,,,,,,,,,,packageserver-68574b8479-4st2n
158,strimzi-cluster-operator-v0.29.0-6c698958d7-rcs7d,,,,,,,,,,,,,cert-manager-cainjector-5657bd87b9-cnxph
159,k8s-annotations-exporter-859ddb9549-dtk8x,,,,,,,,,,,,,external-secrets-operator-controller-manager-5dbd5459c8-tpnsn
160,amun-api-9-gz655,,,,,,,,,,,,,service-ca-69cc8ddbd9-vlt8d
161,argo-server-b4b574bf-22cn4,,,,,,,,,,,,,thanos-ruler-user-workload-0
162,inspection-test-220522000030-784c8afa70815212-1386253675,,,,,,,,,,,,,kafka-kafdrop-4-xkczm
163,adviser-220522023404-749fc0f5ca47aa7a-3853253546,,,,,,,,,,,,,opf-kafka-entity-operator-f6959744c-8q55f
164,adviser-220522025921-c1383ded19d5dd18-3800566558,,,,,,,,,,,,,strimzi-cluster-operator-v0.29.0-6c698958d7-rcs7d
165,adviser-220522032715-f6944357f89b84dd-1148525847,,,,,,,,,,,,,k8s-annotations-exporter-859ddb9549-dtk8x
166,adviser-220522083208-cc60ffd4cb40b9ce-2336228921,,,,,,,,,,,,,amun-api-9-gz655
167,adviser-220522084204-90e8794e21960db3-3734407208,,,,,,,,,,,,,argo-server-b4b574bf-22cn4
168,adviser-220522091234-7076eacc6e2b6f5f-3855319079,,,,,,,,,,,,,inspection-test-220522000030-784c8afa70815212-1386253675
169,adviser-220522092126-b1fa336fe212a622-3144772109,,,,,,,,,,,,,adviser-220522023404-749fc0f5ca47aa7a-3853253546
170,argo-server-7f87859f85-cvvmf,,,,,,,,,,,,,
171,management-api-9-tbtsz,,,,,,,,,,,,,
172,user-api-15-lkkkn,,,,,,,,,,,,,
173,graph-metrics-exporter-27552180-gsqmc,,,,,,,,,,,,,
174,graph-metrics-exporter-27552240-sgkqd,,,,,,,,,,,,,
