,0
0,klusterlet-85dd9df585-9xb42
1,klusterlet-registration-agent-799df588c8-4q5b9
2,klusterlet-registration-agent-799df588c8-fsbdm
3,klusterlet-registration-agent-799df588c8-plmt5
4,klusterlet-work-agent-7965bf9b-4bd9h
5,klusterlet-work-agent-7965bf9b-fg4g6
6,klusterlet-work-agent-7965bf9b-kj9cf
7,klusterlet-addon-appmgr-9c4cc964c-7c48k
8,klusterlet-addon-certpolicyctrl-bbfcf6f8c-swsm4
9,klusterlet-addon-iampolicyctrl-68dcc6b9d7-h4wwn
10,klusterlet-addon-operator-794759466f-wjcjf
11,klusterlet-addon-policyctrl-config-policy-7f748c8bf-gl8m9
12,klusterlet-addon-policyctrl-framework-cb6566b56-6bgtk
13,klusterlet-addon-search-69b57bbf74-fcgp4
14,klusterlet-addon-workmgr-6445bfbf87-k4rlm
15,authentication-operator-7dd9cb95c6-zfk48
16,cloud-credential-operator-85897fdddc-cwbrz
17,pod-identity-webhook-5c56f945cd-cbgxz
18,aws-ebs-csi-driver-controller-65655c5798-ftjwv
19,aws-ebs-csi-driver-controller-65655c5798-jfl2f
20,aws-ebs-csi-driver-node-2lv5f
21,aws-ebs-csi-driver-node-8l5ld
22,aws-ebs-csi-driver-node-8ldt7
23,aws-ebs-csi-driver-node-b74tr
24,aws-ebs-csi-driver-node-gprzt
25,aws-ebs-csi-driver-node-h7v66
26,aws-ebs-csi-driver-node-hjht6
27,aws-ebs-csi-driver-node-k7nbh
28,aws-ebs-csi-driver-operator-87d78496b-6wtr9
29,tuned-5pgfh
30,tuned-6dws8
31,tuned-6z2pp
32,tuned-bcnbt
33,tuned-nm9cw
34,tuned-qhsqg
35,tuned-trxjx
36,tuned-xfs6s
37,csi-snapshot-controller-6d454cc9dc-88hbq
38,csi-snapshot-controller-6d454cc9dc-9hwpv
39,csi-snapshot-controller-operator-64f4d7988b-m5bgc
40,csi-snapshot-webhook-5bb5cbc9df-l25z9
41,csi-snapshot-webhook-5bb5cbc9df-zmzmz
42,console-76c94f4f68-hxntx
43,console-76c94f4f68-wddhm
44,downloads-5564595dd-6hls4
45,downloads-5564595dd-pwvdz
46,console-operator-77876df86f-s646m
47,node-resolver-4s2q4
48,node-resolver-c4g2k
49,node-resolver-dl7sb
50,node-resolver-fgbv7
51,node-resolver-hmnt6
